album,artist,bnm,bnr,date,reviewer,score,url
"Tunnel of Love,Chimes of Freedom EP,Human Touch,Lucky Town,In Concert/MTV Plugged,The Ghost of Tom Joad,Blood Brothers EP","Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen",0,0,May 19 2018,Sam Sodomsky,"9.5,6.4,5.8,6.8,6.1,7.6,5.4",https://pitchfork.com/reviews/albums/bruce-springsteen-the-album-collection-vol-2-1987-1996/
Happy Ending,Wax Idols,0,0,May 21 2018,Sasha Geffen,7.1,https://pitchfork.com/reviews/albums/wax-idols-happy-ending/
Saved,"Now, Now",0,0,May 21 2018,Olivia Horn ,7.1,https://pitchfork.com/reviews/albums/now-now-saved/
Angels of Death,Jennifer Castle,0,0,May 22 2018,Erin Osmon,7.6,https://pitchfork.com/reviews/albums/jennifer-castle-angels-of-death/
Wax Chattels,Wax Chattels,0,0,May 21 2018,David Glickman,6.5,https://pitchfork.com/reviews/albums/wax-chattels-wax-chattels/
Sparkle Hard,Stephen Malkmus and the Jicks,0,0,May 18 2018,Evan Rytlewski,8.0,https://pitchfork.com/reviews/albums/stephen-malkmus-and-the-jicks-sparkle-hard/
Everything Matters But No One Is Listening,Quiet Slang,0,0,May 19 2018,Ian Cohen,5.4,https://pitchfork.com/reviews/albums/quiet-slang-everything-matters-but-no-one-is-listening/
Buck Meek,Buck Meek,0,0,May 19 2018,Allison Hussey,7.2,https://pitchfork.com/reviews/albums/buck-meek-buck-meek/
Wide Awake!,Parquet Courts,0,0,May 21 2018,Mike Powell,8.0,https://pitchfork.com/reviews/albums/parquet-courts-wide-awake/
Rausch,GAS,0,0,May 18 2018,Daniel Martin-McCormick,7.8,https://pitchfork.com/reviews/albums/gas-rausch/
Cannonball!,Sen Morimoto,0,0,May 19 2018,Jonah Bromwich,7.7,https://pitchfork.com/reviews/albums/sen-morimoto-cannonball/
Compro,Skee Mask,1,0,May 17 2018,Ezra Marcus,8.6,https://pitchfork.com/reviews/albums/skee-mask-compro/
Failed Celestial Creatures,"David Grubbs,Taku Unami",0,0,May 16 2018,Philip Sherburne,7.6,https://pitchfork.com/reviews/albums/david-grubbs-taku-unami-failed-celestial-creatures/
Mark Kozelek,Mark Kozelek,0,0,May 16 2018,Ian Cohen,6.8,https://pitchfork.com/reviews/albums/mark-kozelek-mark-kozelek/
Die Lit,Playboi Carti,1,0,May 16 2018,Evan Rytlewski,8.5,https://pitchfork.com/reviews/albums/playboi-carti-die-lit/
Hundreds of Days,Mary Lattimore,0,0,May 18 2018,Kevin Lozano,7.8,https://pitchfork.com/reviews/albums/mary-lattimore-hundreds-of-days/
Violet Psalms,Frog Eyes,0,0,May 18 2018,Calum Marsh,7.7,https://pitchfork.com/reviews/albums/frog-eyes-violet-psalms/
Letters of Irrelevance,Patrick Paige II,0,0,May 18 2018,Jackson Howard,7.5,https://pitchfork.com/reviews/albums/patrick-paige-ii-letters-of-irrelevance/
NTS Sessions 1-4,Autechre,0,0,May 15 2018,Andrew Nosnitsky,8.2,https://pitchfork.com/reviews/albums/autechre-nts-sessions-1-4/
To Drink From the Night Itself,At the Gates,0,0,May 17 2018,Andy O'Connor,7.3,https://pitchfork.com/reviews/albums/at-the-gates-to-drink-from-the-night-itself/
Period,City Girls,0,0,May 17 2018,Claire Lobenfeld,6.5,https://pitchfork.com/reviews/albums/city-girls-period/
In the Rainbow Rain,Okkervil River,0,0,May 16 2018,Brad Shoup,6.9,https://pitchfork.com/reviews/albums/okkervil-river-in-the-rainbow-rain/
Time Out of Mind,Bob Dylan,0,0,May 13 2018,Grayson Haver Currin,9.4,https://pitchfork.com/reviews/albums/bob-dylan-time-out-of-mind/
Tranquility Base Hotel & Casino,Arctic Monkeys,0,0,May 14 2018,Jazz Monroe,8.1,https://pitchfork.com/reviews/albums/arctic-monkeys-tranquility-base-hotel-and-casino/
"I Have Fought Against It, But I Can’t Any Longer.",The Body,0,0,May 15 2018,Nina Mashurova,7.8,https://pitchfork.com/reviews/albums/the-body-i-have-fought-against-it-but-i-cant-any-longer/
Faminine Mystique,"oOoOO, Islamiq Grrrls",0,0,May 17 2018,Chal Ravens,6.8,https://pitchfork.com/reviews/albums/ooooo-islamiq-grrrls-faminine-mystique/
Baylor Swift,Bali Baby,0,0,May 12 2018,Sheldon Pearce,7.4,https://pitchfork.com/reviews/albums/bali-baby-baylor-swift/
On Watch,Slow Mass,0,0,May 14 2018,Ian Cohen,7.5,https://pitchfork.com/reviews/albums/slow-mass-on-watch/
Kiss Yr Frenemies,Illuminati Hotties,0,0,May 15 2018,Larry Fitzmaurice,7.3,https://pitchfork.com/reviews/albums/illuminati-hotties-kiss-yr-frenemies/
Any Day,The Sea and Cake,0,0,May 12 2018,Stuart Berman,7.5,https://pitchfork.com/reviews/albums/the-sea-and-cake-any-day/
O,Ssion,0,0,May 14 2018,Cameron Cook,7.7,https://pitchfork.com/reviews/albums/ssion-o/
NORF: The Legend of Hotboy Ronald,Lorde Fredd33,0,0,May 15 2018,Mehan Jayasuriya,7.5,https://pitchfork.com/reviews/albums/lorde-fredd33-norf-the-legend-of-hotboy-ronald/
Marely Barch,Barely March,0,0,May 12 2018,Ian Cohen,7.5,https://pitchfork.com/reviews/albums/barely-march-marely-barch/
Activated,Tee Grizzley,0,0,May 14 2018,Brian Josephs,6.4,https://pitchfork.com/reviews/albums/tee-grizzley-activated/
Beware the Book of Eli,Ski Mask the Slump God,0,0,May 12 2018,Dean Van Nguyen,7.9,https://pitchfork.com/reviews/albums/ski-mask-the-slump-god-beware-the-book-of-eli/
The Horizon Just Laughed,Damien Jurado,0,0,May 10 2018,Grayson Haver Currin,8.0,https://pitchfork.com/reviews/albums/damien-jurado-the-horizon-just-laughed/
Singularity,Jon Hopkins,1,0,May 10 2018,Brian Howe,8.3,https://pitchfork.com/reviews/albums/jon-hopkins-singularity/
Downtown Castles Can Never Block the Sun,Ben LaMar Gay,0,0,May 10 2018,Andy Beta,7.9,https://pitchfork.com/reviews/albums/ben-lamar-gay-downtown-castles-can-never-block-the-sun/
Simi,BlocBoy JB ,0,0,May 10 2018,Paul A. Thompson,7.7,https://pitchfork.com/reviews/albums/blocboy-jb-simi/
Conexão EP,Amber Mark ,0,0,May 9 2018,Jamieson Cox,8.0,https://pitchfork.com/reviews/albums/amber-mark-conexao-ep/
Fall in Love EP,Lucas,0,0,May 11 2018,Mehan Jayasuriya,7.0,https://pitchfork.com/reviews/albums/lucas-fall-in-love-ep/
Appreciation,Horse Feathers,0,0,May 9 2018,Max Savage Levenson,7.1,https://pitchfork.com/reviews/albums/horse-feathers-appreciation/
L.O.D. EP,Desiigner,0,0,May 9 2018,Torii MacAdams,4.6,https://pitchfork.com/reviews/albums/desiigner-lod-ep/
DNA Feelings,Aïsha Devi,0,0,May 11 2018,Sasha Geffen,7.4,https://pitchfork.com/reviews/albums/aisha-devi-dna-feelings/
7,Beach House,1,0,May 11 2018,Jayson Greene,8.9,https://pitchfork.com/reviews/albums/beach-house-7/
Music for Installations,Brian Eno,0,0,May 7 2018,Jesse Jarnow,8.0,https://pitchfork.com/reviews/albums/brian-eno-music-for-installations/
Beyondless,Iceage,1,0,May 7 2018,Jenn Pelly,8.6,https://pitchfork.com/reviews/albums/iceage-beyondless/
The Flowers of Romance,Public Image Ltd,0,0,May 6 2018,Vivien Goldman,9.3,https://pitchfork.com/reviews/albums/public-image-ltd-the-flowers-of-romance/
Venetian Snares x Daniel Lanois,"Venetian Snares,Daniel Lanois",0,0,May 5 2018,Andy Beta,6.9,https://pitchfork.com/reviews/albums/venetian-snares-daniel-lanois-venetian-snares-x-daniel-lanois/
JP3,Junglepussy,0,0,May 11 2018,Jackson Howard,7.5,https://pitchfork.com/reviews/albums/junglepussy-jp3/
Mixtape,Jacques Greene,0,0,May 8 2018,Megan Buerger,6.9,https://pitchfork.com/reviews/albums/jacques-greene-mixtape/
Murmurations,Simian Mobile Disco,0,0,May 11 2018,Larry Fitzmaurice,7.5,https://pitchfork.com/reviews/albums/simian-mobile-disco-murmurations/
DOVE,Belly,0,0,May 8 2018,Alfred Soto,7.2,https://pitchfork.com/reviews/albums/belly-dove/
"SR3MM ,Swaecation,Jxmtro","Rae Sremmurd,Swae Lee,Slim Jxmmi",0,0,May 8 2018,Sheldon Pearce,"8.1,7.4,7.6",https://pitchfork.com/reviews/albums/rae-sremmurd-swae-lee-slim-jxmmi-sr3mm/
Rejuvenate,Paul White,0,0,May 7 2018,Jonah Bromwich,7.9,https://pitchfork.com/reviews/albums/paul-white-rejuvenate/
Starting Today,Joe Armon-Jones,0,0,May 7 2018,Phillip Mlynar,7.5,https://pitchfork.com/reviews/albums/joe-armon-jones-starting-today/
Lost Friends,Middle Kids,0,0,May 5 2018,Stuart Berman,6.8,https://pitchfork.com/reviews/albums/middle-kids-lost-friends/
Good Thing,Leon Bridges,0,0,May 8 2018,Olivia Horn ,7.2,https://pitchfork.com/reviews/albums/leon-bridges-good-thing/
Until Death Call My Name,YoungBoy Never Broke Again,0,0,May 9 2018,Sheldon Pearce,6.9,https://pitchfork.com/reviews/albums/youngboy-never-broke-again-until-death-call-my-name/
Hollow Ground,Cut Worms ,0,0,May 3 2018,Nina Corcoran,7.2,https://pitchfork.com/reviews/albums/cut-worms-hollow-ground/
Knock Knock,DJ Koze,1,0,May 4 2018,Mark Richardson,8.8,https://pitchfork.com/reviews/albums/dj-koze-knock-knock/
Poo Bear Presents: Bearthday Music,Poo Bear,0,0,May 3 2018,Katherine St. Asaph,4.6,https://pitchfork.com/reviews/albums/poo-bear-poo-bear-presents-bearthday-music/
Rebound,Eleanor Friedberger,0,0,May 4 2018,Jonah Bromwich,8.1,https://pitchfork.com/reviews/albums/eleanor-friedberger-rebound/
Hello People,Chris Reimer,0,0,May 4 2018,Stuart Berman,7.5,https://pitchfork.com/reviews/albums/chris-reimer-hello-people/
House With a Pool,Charge It to the Game,0,0,May 3 2018,Mike Madden,6.8,https://pitchfork.com/reviews/albums/charge-it-to-the-game-house-with-a-pool/
Blue Dream EP,Le1f,0,0,May 5 2018,Cameron Cook,6.9,https://pitchfork.com/reviews/albums/le1f-blue-dream-ep/
Anticlines,Lucrecia Dalt,0,0,May 4 2018,Philip Sherburne,8.0,https://pitchfork.com/reviews/albums/lucrecia-dalt-anticlines/
Girly-Sound to Guyville: The 25th Anniversary Box Set,Liz Phair,0,1,May 2 2018,Amanda Petrusich,10,https://pitchfork.com/reviews/albums/liz-phair-girly-sound-to-guyville-the-25th-anniversary-box-set/
Chiquito EP,Cuco,0,0,May 4 2018,Evan Rytlewski,7.4,https://pitchfork.com/reviews/albums/cuco-chiquito-ep/
Beerbongs & Bentleys,Post Malone,0,0,May 3 2018,Evan Rytlewski,5.6,https://pitchfork.com/reviews/albums/post-malone-beerbongs-and-bentleys/
The Good Is a Big God,Domenico Lancellotti,0,0,May 5 2018,Marty Sartini Garner,7.5,https://pitchfork.com/reviews/albums/domenico-lancellotti-the-good-is-a-big-god/
With Dim Light,Minami Deutsch,0,0,May 1 2018,Patrick St. Michel,7.0,https://pitchfork.com/reviews/albums/minami-deutsch-with-dim-light/
Dirty Computer,Janelle Monáe,0,0,May 1 2018,Rahawa Haile,7.7,https://pitchfork.com/reviews/albums/janelle-monae-dirty-computer/
You’re Driving Me Crazy,"Van Morrison,Joey DeFrancesco",0,0,April 30 2018,Stephen Thomas Erlewine,7.0,https://pitchfork.com/reviews/albums/van-morrison-joey-defrancesco-youre-driving-me-crazy/
Grid of Points,Grouper,0,0,April 30 2018,Meaghan Garvey,7.8,https://pitchfork.com/reviews/albums/grouper-grid-of-points/
Facepaint EP,Buzzy Lee,0,0,May 1 2018,Jay Balfour,6.6,https://pitchfork.com/reviews/albums/buzzy-lee-facepaint-ep/
Sway,Tove Styrke,0,0,May 2 2018,Margaret Farrell,7.5,https://pitchfork.com/reviews/albums/tove-styrke-sway/
Perfect From Now On,Built to Spill,0,0,April 29 2018,Steve Kandell,9.2,https://pitchfork.com/reviews/albums/built-to-spill-perfect-from-now-on/
Only Love,The Armed,0,0,May 1 2018,Brandon Stosuy,8.1,https://pitchfork.com/reviews/albums/the-armed-only-love/
Question and Answer EP,Wata Igarashi,0,0,April 30 2018,Andy Beta,7.5,https://pitchfork.com/reviews/albums/wata-igarashi-question-and-answer-ep/
Elysia Crampton,Elysia Crampton,0,0,April 30 2018,Sasha Geffen,7.6,https://pitchfork.com/reviews/albums/elysia-crampton-elysia-crampton/
"Nothing 2 Loose,Mudshadow Propaganda","DJ Healer,Prime Minister of Doom",0,0,May 2 2018,Drew Gaerig,"8.2,8.0",https://pitchfork.com/reviews/albums/dj-healer-prime-minister-of-doom-dj-healer-nothing-2-loose-prime-minister-of-doom-mudshadow-propaganda/
Miro Tape,Duppy Gun,0,0,May 2 2018,Thea Ballard,7.4,https://pitchfork.com/reviews/albums/duppy-gun-miro-tape/
The Sciences,Sleep,1,0,April 26 2018,Grayson Haver Currin,8.4,https://pitchfork.com/reviews/albums/sleep-the-sciences/
Not for Sale,Smoke DZA,0,0,April 26 2018,Sheldon Pearce,7.3,https://pitchfork.com/reviews/albums/smoke-dza-not-for-sale/
Sparrow,Ashley Monroe,0,0,April 26 2018,Stephen M. Deusner,7.7,https://pitchfork.com/reviews/albums/ashley-monroe-sparrow/
Forth Wanderers,Forth Wanderers,0,0,April 27 2018,Kevin Lozano,7.7,https://pitchfork.com/reviews/albums/forth-wanderers-forth-wanderers/
