album,artist,bnm,bnr,date,reviewer,score,url
Age Of,Oneohtrix Point Never,0,0,June 2 2018,Sasha Geffen,7.8,https://pitchfork.com/reviews/albums/oneohtrix-point-never-age-of/
Lush Life,Bonjay,0,0,June 2 2018,Chris Randle,7.4,https://pitchfork.com/reviews/albums/bonjay-lush-life/
Still EP,Mazzy Star,0,0,June 6 2018,Ben Cardew,7.1,https://pitchfork.com/reviews/albums/mazzy-star-still-ep/
Vibras,J Balvin,0,0,May 31 2018,Matthew  Ismael Ruiz,8.0,https://pitchfork.com/reviews/albums/j-balvin-vibras/
Cave Vaults of the Moon,Joanne Forman,0,0,June 1 2018,Andy Beta,6.8,https://pitchfork.com/reviews/albums/joanne-forman-cave-vaults-of-the-moon/
Deeper,Deeper,0,0,June 4 2018,Larry Fitzmaurice,6.9,https://pitchfork.com/reviews/albums/deeper-deeper/
Skulls Example,Dear Nora,0,0,June 1 2018,Jay Balfour,7.5,https://pitchfork.com/reviews/albums/dear-nora-skulls-example/
Return of the Frog Queen,Jeremy Enigk,0,0,June 2 2018,Patric Fallon,7.8,https://pitchfork.com/reviews/albums/jeremy-enigk-return-of-the-frog-queen/
Dream House,Âme,0,0,June 2 2018,Daniel Martin-McCormick,4.8,https://pitchfork.com/reviews/albums/ame-dream-house/
Live Through This,Hole,0,0,June 3 2018,Sasha Geffen,10,https://pitchfork.com/reviews/albums/hole-live-through-this/
cc EP,Klein,0,0,May 30 2018,Ben Cardew,7.7,https://pitchfork.com/reviews/albums/klein-cc-ep/
Love Is Dead,Chvrches,0,0,May 30 2018,Laura Snapes,6.3,https://pitchfork.com/reviews/albums/chvrches-love-is-dead/
Tracyanne & Danny,Tracyanne & Danny,0,0,May 30 2018,Brian Howe,7.4,https://pitchfork.com/reviews/albums/tracyanne-and-danny-tracyanne-and-danny/
Sink EP,Sudan Archives,0,0,May 29 2018,Jenn Pelly,7.5,https://pitchfork.com/reviews/albums/sudan-archives-sink-ep/
Black Soap,MIKE,0,0,May 28 2018,Jeff Ihaza,7.8,https://pitchfork.com/reviews/albums/mike-black-soap/
Diary 001 EP,Clairo,0,0,May 31 2018,Sasha Geffen,7.0,https://pitchfork.com/reviews/albums/clairo-diary-001-ep/
Midnight Marker,Shy Layers,0,0,May 29 2018,Philip Sherburne,7.9,https://pitchfork.com/reviews/albums/shy-layers-midnight-marker/
Shawn Mendes,Shawn Mendes,0,0,May 31 2018,Jamieson Cox,5.1,https://pitchfork.com/reviews/albums/shawn-mendes-shawn-mendes/
Testing,A$AP Rocky,0,0,May 29 2018,Stephen Kearse,6.7,https://pitchfork.com/reviews/albums/asap-rocky-testing/
Medicaid Fraud Dogg,Parliament,0,0,May 30 2018,Sheldon Pearce,7.3,https://pitchfork.com/reviews/albums/parliament-medicaid-fraud-dogg/
V.,Wooden Shjips,0,0,May 31 2018,Stuart Berman,7.3,https://pitchfork.com/reviews/albums/wooden-shjips-v/
Paz & Amor EP,DJ Lilocox,0,0,May 29 2018,Andy Beta,7.8,https://pitchfork.com/reviews/albums/dj-lilocox-paz-and-amor-ep/
Uptown Festival;Disco Gardens;Big Fun,Shalamar;Shalamar;Shalamar,0,0,May 26 2018,Ernest Wilkins,"4.2,7.0,7.6",https://pitchfork.com/reviews/albums/shalamar-uptown-festival-disco-gardens-big-fun/
Daytona,Pusha-T,1,0,May 25 2018,Paul A. Thompson,8.3,https://pitchfork.com/reviews/albums/pusha-t-daytona/
Love Yourself 轉 ‘Tear’,BTS,0,0,May 24 2018,Sheldon Pearce,7.1,https://pitchfork.com/reviews/albums/bts-love-yourself-tear/
Double Dream of Spring,Deerhunter,0,0,May 24 2018,Marc Hogan,7.2,https://pitchfork.com/reviews/albums/deerhunter-double-dream-of-spring/
The Return,Kamaal Williams,0,0,May 25 2018,Dean Van Nguyen,8.0,https://pitchfork.com/reviews/albums/kamaal-williams-the-return/
Only Built 4 Cuban Linx,Raekwon,0,0,May 27 2018,Jonah Bromwich,9.5,https://pitchfork.com/reviews/albums/raekwon-only-built-4-cuban-linx/
(((echo chamber))),MC Paul Barman,0,0,May 25 2018,Evan Rytlewski,6.0,https://pitchfork.com/reviews/albums/mc-paul-barman-echo-chamber/
Puff LP: In the air without a shape,Bernice,0,0,May 26 2018,Ben Cardew,7.5,https://pitchfork.com/reviews/albums/bernice-puff-lp-in-the-air-without-a-shape/
Sugar & Spice EP,Hatchie,0,0,May 26 2018,Judy Berman,7.5,https://pitchfork.com/reviews/albums/hatchie-sugar-and-spice-ep/
Themes for Television,Johnny Jewel,0,0,May 25 2018,Larry Fitzmaurice,7.0,https://pitchfork.com/reviews/albums/johnny-jewel-themes-for-television/
Big Wave More Fire,DJDS,0,0,May 26 2018,Max Mertens,7.3,https://pitchfork.com/reviews/albums/djds-big-wave-more-fire/
Perfume EP,Wand,0,0,May 25 2018,Steven Arroyo,7.7,https://pitchfork.com/reviews/albums/wand-perfume-ep/
Harder Than Ever,Lil Baby,0,0,May 23 2018,Evan Rytlewski,6.6,https://pitchfork.com/reviews/albums/lil-baby-harder-than-ever/
Deafman Glance,Ryley Walker,0,0,May 22 2018,Sam Sodomsky,7.9,https://pitchfork.com/reviews/albums/ryley-walker-deafman-glance/
Reckless,Nav,0,0,May 23 2018,Alphonse Pierre,5.3,https://pitchfork.com/reviews/albums/nav-reckless/
Tell Me How You Really Feel,Courtney Barnett,0,0,May 22 2018,Laura Snapes,7.4,https://pitchfork.com/reviews/albums/courtney-barnett-tell-me-how-you-really-feel/
Luminosity Device,Surgeon,0,0,May 23 2018,Louis Pattison,7.0,https://pitchfork.com/reviews/albums/surgeon-luminosity-device/
Deeper Woods,Sarah Louise,0,0,May 23 2018,Jesse Jarnow,7.8,https://pitchfork.com/reviews/albums/sarah-louise-deeper-woods/
Wide Awake!,Parquet Courts,0,0,May 21 2018,Mike Powell,8.0,https://pitchfork.com/reviews/albums/parquet-courts-wide-awake/
Light of Mine,KYLE,0,0,May 24 2018,Briana Younger,6.9,https://pitchfork.com/reviews/albums/kyle-light-of-mine/
Angels of Death,Jennifer Castle,0,0,May 22 2018,Erin Osmon,7.6,https://pitchfork.com/reviews/albums/jennifer-castle-angels-of-death/
Yesterday’s Tomorrows,Moomin,0,0,May 22 2018,Philip Sherburne,6.6,https://pitchfork.com/reviews/albums/moomin-yesterdays-tomorrows/
Steamroom 40,Jim O’Rourke,0,0,May 24 2018,Philip Sherburne,8.0,https://pitchfork.com/reviews/albums/jim-orourke-steamroom-40/
Cannonball!,Sen Morimoto,0,0,May 19 2018,Jonah Bromwich,7.7,https://pitchfork.com/reviews/albums/sen-morimoto-cannonball/
Sparkle Hard,Stephen Malkmus and the Jicks,0,0,May 18 2018,Evan Rytlewski,8.0,https://pitchfork.com/reviews/albums/stephen-malkmus-and-the-jicks-sparkle-hard/
Happy Ending,Wax Idols,0,0,May 21 2018,Sasha Geffen,7.1,https://pitchfork.com/reviews/albums/wax-idols-happy-ending/
Buck Meek,Buck Meek,0,0,May 19 2018,Allison Hussey,7.2,https://pitchfork.com/reviews/albums/buck-meek-buck-meek/
Wax Chattels,Wax Chattels,0,0,May 21 2018,David Glickman,6.5,https://pitchfork.com/reviews/albums/wax-chattels-wax-chattels/
Letters of Irrelevance,Patrick Paige II,0,0,May 18 2018,Jackson Howard,7.5,https://pitchfork.com/reviews/albums/patrick-paige-ii-letters-of-irrelevance/
In the Rainbow Rain,Okkervil River,0,0,May 16 2018,Brad Shoup,6.9,https://pitchfork.com/reviews/albums/okkervil-river-in-the-rainbow-rain/
Rausch,GAS,0,0,May 18 2018,Daniel Martin-McCormick,7.8,https://pitchfork.com/reviews/albums/gas-rausch/
Spirit in the Dark,Aretha Franklin,0,0,May 20 2018,Nick Marino,9.0,https://pitchfork.com/reviews/albums/aretha-franklin-spirit-in-the-dark/
Everything Matters But No One Is Listening,Quiet Slang,0,0,May 19 2018,Ian Cohen,5.4,https://pitchfork.com/reviews/albums/quiet-slang-everything-matters-but-no-one-is-listening/
Saved,"Now, Now",0,0,May 21 2018,Olivia Horn ,7.1,https://pitchfork.com/reviews/albums/now-now-saved/
Hundreds of Days,Mary Lattimore,0,0,May 18 2018,Kevin Lozano,7.8,https://pitchfork.com/reviews/albums/mary-lattimore-hundreds-of-days/
Compro,Skee Mask,1,0,May 17 2018,Ezra Marcus,8.6,https://pitchfork.com/reviews/albums/skee-mask-compro/
To Drink From the Night Itself,At the Gates,0,0,May 17 2018,Andy O'Connor,7.3,https://pitchfork.com/reviews/albums/at-the-gates-to-drink-from-the-night-itself/
Die Lit,Playboi Carti,1,0,May 16 2018,Evan Rytlewski,8.5,https://pitchfork.com/reviews/albums/playboi-carti-die-lit/
Mark Kozelek,Mark Kozelek,0,0,May 16 2018,Ian Cohen,6.8,https://pitchfork.com/reviews/albums/mark-kozelek-mark-kozelek/
Violet Psalms,Frog Eyes,0,0,May 18 2018,Calum Marsh,7.7,https://pitchfork.com/reviews/albums/frog-eyes-violet-psalms/
Faminine Mystique,oOoOO;Islamiq Grrrls,0,0,May 17 2018,Chal Ravens,6.8,https://pitchfork.com/reviews/albums/ooooo-islamiq-grrrls-faminine-mystique/
NTS Sessions 1-4,Autechre,0,0,May 15 2018,Andrew Nosnitsky,8.2,https://pitchfork.com/reviews/albums/autechre-nts-sessions-1-4/
Period,City Girls,0,0,May 17 2018,Claire Lobenfeld,6.5,https://pitchfork.com/reviews/albums/city-girls-period/
"I Have Fought Against It, But I Can’t Any Longer.",The Body,0,0,May 15 2018,Nina Mashurova,7.8,https://pitchfork.com/reviews/albums/the-body-i-have-fought-against-it-but-i-cant-any-longer/
Time Out of Mind,Bob Dylan,0,0,May 13 2018,Grayson Haver Currin,9.4,https://pitchfork.com/reviews/albums/bob-dylan-time-out-of-mind/
Kiss Yr Frenemies,Illuminati Hotties,0,0,May 15 2018,Larry Fitzmaurice,7.3,https://pitchfork.com/reviews/albums/illuminati-hotties-kiss-yr-frenemies/
Failed Celestial Creatures,David Grubbs;Taku Unami,0,0,May 16 2018,Philip Sherburne,7.6,https://pitchfork.com/reviews/albums/david-grubbs-taku-unami-failed-celestial-creatures/
NORF: The Legend of Hotboy Ronald,Lorde Fredd33,0,0,May 15 2018,Mehan Jayasuriya,7.5,https://pitchfork.com/reviews/albums/lorde-fredd33-norf-the-legend-of-hotboy-ronald/
Tranquility Base Hotel & Casino,Arctic Monkeys,0,0,May 14 2018,Jazz Monroe,8.1,https://pitchfork.com/reviews/albums/arctic-monkeys-tranquility-base-hotel-and-casino/
